,Reviews,Ratings
10,"I avoided watching this film for the longest time. Long before it was even released I had dismissed it as an over-hyped, over-blown, overly romanticized piece of Hollywood schmaltz, and I wanted nothing to do with it. I never watched it in the theatre. I shook my head in disbelief at the 11 Academy Awards - even though I had never seen it. Then I was asked to be a judge at a high school public speaking contest. One of the girls spoke about this movie. ""It was so great,"" she said. ""You really felt like you were on the ship."" ""Nonsense,"" I thought. I shared my feelings with my fellow judges. One looked at me and said, ""you might be right, but if she liked the movie that much maybe she'll want to learn more about the real Titanic. The movie must have done something right to get her so interested."" ""Well, maybe,"" thought I. Then it finally appeared on Pay TV. ""OK,"" I thought, ""I'll give it a look see."" I didn't want to like it - and I didn't. I loved it! What a great movie.Where to start? First - the directing. My high school public speaking contestant was right. James Cameron does a superb job of creating an almost ""you are there"" type of atmosphere. The gaiety of life aboard the most elegant ship in the world. The nonchalance as news of the iceberg first spreads; then the rising sense of panic. You don't just watch it; you really do feel it. Then - the performances. The lead performances from Kate Winslet (as Rose) and Leonardo DiCaprio (as Jack) are excellent - Winslet's being the superior, I thought, but both were good. They had their rich girl/poor boy characters down to a perfect ""t"" I thought. In my opinion, though, stealing the show was Frances Fisher as Rose's mother. She was perfect as the snobby aristocrat, and you could feel the fear and loathing she felt every time she looked at Jack. Then - the details. I'm no expert on the sinking of the Titanic, but I have a reasonable general knowledge, and this film does a super job of recreating the historical details accurately and then weaving them seamlessly around the fictional romance. Very impressive, indeed. Then - the song. Who can watch this movie and not be taken with Celine Dion's performance of ""My Heart Goes On.""Problems. Well, the romance was perhaps too contrived, in the sense that I just don't accept that Jack could have moved so effortlessly from steerage to first class. (I know he was invited the first time; but he seems to keep getting into first class without being stopped until he's been there for a while.) The realities of the separation of the social classes were much more realistically portrayed, I thought, when the steerage passengers were going to be left locked down there after the ship hit the iceberg while the first class folks got to enjoy half empty lifeboats. A minor quibble, though. This is truly an excellent movie. My only regret is not seeing it in the theatre, where I think it would have been so much more impressive.9/10",9
11,"You can watch this movie in 1997, you can watch it again in 2004 or 2009 or you can watch it in 2015 or 2020, and this movie will get you EVERY TIME. Titanic has made itself FOREVER a timeless classic! I just saw it today (2015) and I was crying my eyeballs out JUST like the first time I saw it back in 1998. This is a movie that is SO touching, SO precise in the making of the boat, the acting and the storyline is BRILLIANT! And the preciseness of the ship makes it even more outstanding! Kate Winslet and Leonardo Dicaprio definitely created a timeless classic that can be watched time and time again and will never get old. This movie will always continue to be a beautiful, painful & tragic movie. 10/10 stars for this masterpiece!",10
12,"Titanic is one of my all time favourite films. I'm a 24 year old guy who has probably not cried in front of anyone since I was a kid, but this movie plays on my emotions more than almost any other. We all know the ship will sink (does that even qualify as a spoiler?) but the build-up to this event - the smugness and over- confidence, assurances of it being ""unsinkable"" - tease the audience, almost to the point where you're like 'is it really going to sink?'I thought the performances of everyone were magnificent: I cared about the characters and their lives on and beyond the ship. Taking the time to introduce everyone and weave their stories together was masterful, even beyond the main characters, like Fabrizio and Murdoch the First Officer and countless more. It was heartbreaking towards the end when you see the panic gradually set in, and it slowly descends into total chaos. You remember Jack telling Rose all the places he's going to take her to and you imagine their love- filled lives together. The Irish mother telling her children the fairytale, resigned to their fate. The violinists trying to maintain a spirit of composure amidst the carnage. And the music! Wow. I cried for all of this. And especially right at the end when you see the photos of Rose's life, knowing she's fulfilled her promise and survived, living a full life, probably never having met anyone she loved as much as Jack all those years ago.Visually pleasing in every way, dramatic, musically astounding, great acting and above all a fantastic story make this an undeniably iconic, enduring film. A romantic-drama unlike any other. It deserves higher than 7.7.",10
13,"This movie re-wrote film history in every way.  No one cares what anyone thinks about this movie, because it transcends criticism.  Every flaw in the movie is easily overcome by the many amazing things the movie has going for it.  It is an extremely beautiful movie, and I doubt many of us will see anything like it again. I've seen it more times than I care to count, and I still become transfixed every time, with a feeling which is hard to describe.  One for the ages.",10
14,"James Cameron's 'Titanic' shares a similar motto to Marmite, ""you either love it or hate it"", I for one love this film, yes I know it's got a drawn out romance story, but there's just something about the 3-hour fill of the film that makes its such a spectacularly emotional and beautiful movie. I saw this a lot when I was growing up, this was one of the films of my childhood, it is truly a powerfully resonant and visually stunning movie of epic proportions. Personally I favour the British original 'A Night to Remember', but this is a pretty close contender. Winner of 11 Oscars, James Cameron's romantic-disaster epic is a triumph of cinema that boasts perfect chemistry between Kate and Leo as the lovers bound for tragedy. Many people disregard this film nowadays solely because it's become the most popular film ever made alongside Cameron's other epic 'Avatar', and whilst 'Titanic' is definitely not one of my favourite films, it's just so powerfully amazing and no doubt at all it has once brought a tear to everyone's eyes. The main aspect I love in this film is James Horner's haunting score that was a key ingredient in the film's success, it is simply perfect, too bad Celine Dion had to close this on her awful pop version. Nonetheless, 'Titanic' is a modern classic and a beautifully spectacular film that will live on.",
15,"I am still crying as I am writing this review as of right now. I don't even know where to begin. I can now see why this film was one of the highest grossing movies of all time. The blending of genres was masterfully done through the style of a Historical Romance/Drama, and a Disaster/Action film. The writing was absolutely superb, for a 3 hour movie I found myself completely engaged not even blinking my eye. The costumes, music, performances, characters, cinematography, dialogue was so magical I can't even put words here to describe the beauty of everything put into this movie. The performances just take your breathe away. Jack and Rose's love story is so full of life and heart and what true love should be even if it's a battle or your not the same class and can't be together ounce you find your soulmate that's what love is about. Their characters felt so human and that really is what puts this movie at a whole new level. The camerawork is some of the best I have ever seen in any film. I don't even want to spoil how thrilling, chilling, beautifully well done the Titanic sinking part of the film is because it is something you just have to see for yourself and experience the devastating heartbreaking tragedy that occurred. James Cameron you are and will always be one of the best filmmakers to ever live and this is your ultimate masterpiece.",10
16,"From ""Cavalcade"" in 1933 to ""Titanic"" in 1953, ""A Night to Remember"" in 1957 and ""The Unsinkable Molly Brown"" in 1964, the doom ship Titanic became a voyage of legendary, if tragic, proportions, and in the time leading up to its 85th year spawned a TV movie, a Broadway musical and this masterpiece which had audiences preparing to get tickets for it even before it was finished shooting. The reason is clear: James Cameron, Kate Winslet and Leonardo DiCaprio, the promise of effects like you'd never seen in any movie, and a Celine Dion song sung over the teaser trailer that would shoot her to super-stardom.This is told in flashback through the experiences of the 102 year old survivor Rose Calvert (veteran 1930's movie actress Gloria Stuart, nearly forgotten until cast in this), shocked to see a drawing of herself in pristine condition. The nude drawing of her as a young woman wearing a valuable diamond is found in a safe pulled from the ancient wreckage and she immediately notifies the explorers who are searching for more Titanic artifacts and stories. Arriving with pretty much every single belonging of hers as well as her doting granddaughter, Stuart winces in tears with a sudden memory, but insists on going on with her story.From there, we are swept back decades to the luxurious ship on its maiden and only voyage, and the huge vessel is grandly detailed and scaled as only an epic of this nature can scale it to be. Winslet is engaged to the vain Billy Zane, forced by her desperate mother (Frances Fisher) to tolerate him because they are broke and only have their ""name"" to benefit them. Fisher, obviously having married ""up"" , is ultra snobby to the neuvo riche Kathy Bates, and when she meets Jack Dawson (DiCaprio), she knows trouble lies ahead, and her demeanor is enough iceberg for any young lady. Dawson has saved young Roe from committing suicide in the icy waters below, and their first encounter turns into a love that you know can only end tragically.With real life Titanic passengers Brown, John Jacob Astor and his wife Madeline (which would be a great subject for a separate movie), Benjamin Guggenheim and Isadore and Ida Strauss (another subject that would be a touching film), this mixes in these real life characters with the fictional ones. Zane and his humorless right hand man (David Warner) are great villains, with Zane absolutely vile as he psychotically tries to maintain his stolen dignity when he loses his trophy wife to be to a commoner. Watching Zane go psychotic as he stoops to the depths of evil makes you wish he wouldn't make it off, but the writers have an even better plan for him.The film takes well over 90 minutes before the disaster sequences start, and from then on, it is a dizzying, sometimes headache inducing bit of tense moments as DiCaprio, locked to a metal pole to drowned for daring to love Winslet, struggles to be set free. It goes on a bit too long, but for first time viewers is truly frightening. There were buckets of tears being flowed at the Paramount Studios theater I saw this in prior to the release, and even after half a dozen or so viewings, it can still bring them on.Certainly this is filled with cliches, but they are the type of cliches that have worked since the days of the silent movies. This was probably the first film since ""Gone With the Wind"" to be considered a guaranteed Oscar winner, sweeping a good majority of them when it came out. In many ways,, this has very old fashioned ideals and is thus an old fashioned style movie, one of the last of its kind that still worked (""The Artist"" from 20 years later was a rare exception.) I can watch this once a year and still be emotionally turned to mush by it. That is what makes an instant classic.",10
17,Titanic is world famous. The film that broke every box office record on release and wore the box office champion crown for many years(until it was overtaken by Jim Cameron's Avatar) is special because not only does it showcase the Titanic disaster in all its glory the film is a technical achievement of the highest order. The sinking sequence is astonishing and it feels like you are watching the actual ship sink. The characters and actors are amazing and even with a large running length you never dare look at the watch. James Cameron is a master director and Titanic is his stamp of authority.,
18,People are crazy. They rate Avengers so high and they rate this masterpiece low? This is beyond absurd. You guys should encourage great filmmakers like this one not stupid ones like the super hero franchises. For the love of god.,10
19,"Firstly and foremostly, I am a guy, which (in most cases) means I did not go see Titanic to see DiCaprio...although I think he can be a great actor.  Reading through earlier comments, i grew a bit weary of hearing about lame script and shallow characters.  I went to see a ship sink...the plot and the characters were, at least to me, a kind of icing on the Cake.  I actually think a lot of the characters were done well; that is, by the time they die in freezing water, you actually felt a tinge of sadness for them.  But , by the time Titanic was over, I was sufficiently moved to make me tell people that it was a great movie.  Kate Winslet was good, Kathy Bates was perfect, Leo was ok (I'll give you people that - I've seen him shine like I know he can ... Basketball Diaries, Romeo & Juliet).  But ultimately, the Titanic sinks...and it was absolutely stunning.  Bravo to Cameron.  He didn't just show us a large ship sinking, he showed us the back half of it crashing down on a hundred freezing, drowning people; he showed us a third class mother attempting to sing her children to sleep because she knew they were all doomed (broke my heart - i cried the most right there at that point), he showed people who worked extremely hard to get OUT of the bowels of the ship only to be sucked back in when a random window shattered and the water carried them on back in...detail.  I like detail in a movie.  Very impressive job.",
20,"I saw this movie opening day and it took my breath away. James Cameron's fictional story of Jack and Rose entwined with real life occurances was haunting and absolutely beautiful. He is an amazing director and writer that this movie would not have worked without him.Kate Winslet was stunning as Rose and this movie belonged to her as you couldn't imagine anyone else playing this role.Leonardo DiCaprio was really good as Jack and  he should have had an  an Oscar nomination for this role and the ever brilliant Billy Zane didn't disappoint in his role as Rose's fiance Cal. His portrayl of Cal was so evil that despite being an awful person, you couldn't help but feel sorry for him, especially when despite all his doings he loved Rose so much.
James Horner's music was just as haunting and he always lifts the movie he works on to the ultimate level.Kathy Bates was equally impressive in a small role and provided quite a few of the laughs of the film. Everything from the special effects, to the sets to the costumes were pure magic.This would have to be one of the most wonderful films of the 20th Century and one that will never be forgotten.",
21,"Flawless, enchanting, riveting, wondrous, totally out of this world. Astounding as this may sound, I've just now got around to watching ""Titanic,"" 23 years on, and I'm staggered at all that I've missed my whole life.Young love is the most wonderful theme to explore in a movie, but it's also the most difficult to depict beautifully and without too much cloying treacle. Couple that with the story of a young teenage girl in the bygone era of aristocrat families and arranged marriage, side saddles and corsets, outrageous class inequality and rich powerful men in control of everything and keeping women under their thumbs - and you get ""Titanic."" And James Cameron, Leonardo DiCaprio and Kate Winslet cracked it with a bang! They impressed. They dazzled. They shined.They took our breath away.",10
22,"It's really quite odd. When Titanic first came out,the reviews were mixed but the public generally loved it,those who disliked the film were definitely in the minority. Over the years,it has became somewhat fashionable to slag Titanic off,even if a great many of those people who did so were probably amongst those who made it such an enormous hit in the cinemas. Titanic is flawed,definitely,sometimes greatly so. However,it's also a tremendous achievement for it's director James Cameron. Mixing a real disaster with romance is harder to do than some might think. Maybe he did have a right to say ""I'm king of the world"" when the film won Best Picture at the Oscars. Just once.The modern day opening is excellent,making effective use of some of Cameron's real footage he took of the sunken Titanic. There is a real sense of mystery. Than we flash back to the Titanic being boarded,and the film stalls just a little for around two hours. The attention to detail is amazing {even all the cutlery matched,you know} and there is nothing wrong with an extremely slow build up to action-think of The Seven Samourai. However,the central romance between Leo and Kate is often badly written and unconvincing. For a start Kate's Rose would certainly not have done two things she does in the film as quickly as she did {Obviously thousands of teenage girls seeing the film in 1997 would disagree with my views}. We also have to suffer Cameron constantly labouring the point that the poor people on the ship are better than the rich people.However,the final 80 or so minutes,detailing the sinking,is simply brilliant film making. The suspense is built expertly,even though we know what will happen,and climaxes with some technical shots which are still impressive. Perhaps there is a little two much emphasis on the central couple,but there are some truly moving moments,and it really feels true,although of course Cameron did play with the facts a little here and there,as at least one descendant of one of the survivors has pointed out. The following sequence involving the boats is extremely haunting,with some especially good use of sound. As for the final scene,it does manage to be pretty moving,it's schmaltzy but it works {though hardly original,think of Somewhere In Time and various 40s romantic fantasies}.Titanic has some excellent use of CGI {watch out for the transitions from present to the past on the sunken ship} and one glaringly bad special effect-the iceberg which looks like polystyrene. James Horner's best selling score is really quite poor and only occasionally brings the emotion it should do. Performances are generally excellent and sometimes succeed in overcoming some thin characterisation {such as Billy Zane as Rose's fiancée,who even has to suffer with far too much eye make up!}Overall Titanic is still worth seeing,and sometimes it really does hit the heights that it should. It succeeds more than it fails,which is impressive in a film as ambitious as this.",
23,"I had few problems with this film, and I have heard a lot of criticisms saying it is overlong and overrated. True, it is over three hours long, but I was amazed that it goes by so quickly. I don't think it is overrated at all, I think the IMDb rating is perfectly decent. The film looks sumptuous, with gorgeous costumes and excellent effects, and the direction from James Cameron rarely slips from focus. Leonardo DiCaprio gives one of his best performances as Jack, and Kate Winslet is lovely as Rose. David Warner, a great actor, steals every scene he's in. The story is very rich in detail, and is hot on character development, obvious with the love story which is very moving when it needs to be, though in the first bit of the movie it is a little slow. The last hour is extremely riveting, and I will confess that I was on the edge of my seat, when the Titanic sank. I will also say that the last five minutes were very moving. The music score by James Horner was lovely, though I never was a huge fan of the song My Heart will Go On. The 1996 miniseries was good, but suffered from undeveloped scenarios and some historical inaccuracies. Overall, I give Titanic an 8.5/10. Bethany Cox.",8
24,"Titanic is the film ive viewed 2nd most of all, i am the kinda guy that can watche a good movie once every 2 to 3 months, and ive seen titanic some 25-30 times and i should know the storyline pretty well.when seeing this in the theater first time alone and the next night with my wife i was lost for words each time. my wife cried the whole night and well into the next night of this lovestory, and whenever i put this in the video, i know ill have the tv space for myself, cause she made a promise to never ever let herself into a mental state again as when watching it the first time.its not so much the act that does this film, its far too cliched' to become a marvel of acting, but its the heart and the cruelty of life and death that crushes my heart each time i see it. the last 15 minutes are the worst, and i usually stop when the flag goes below the surface of the ocean..the grumpy old man might be a cry-baby, but its worth it, the second highest on my ever best movie list",10
25,"James Cameron's 'Titanic' is essentially a romantic adventure with visual grandeur and magnificence, a timeless tragic love story set against the background of this major historical event... It's an astonishing movie that exemplifies hope, love and humanity... Leonardo DiCaprio is terrific on screen with big charisma... Conveying passion, trust, insouciance and ingenuity, he's a free-spirited wanderer with artistic pretensions, and a zest for life... Kate Winslet is absolutely lovely as the confused upper-class teen engaged to a nasty rich guy who finds herself, one night, plunged to the depths of despair...Billy Zane is an arrogant racist, abusive and ultra rich who would lie, cheat, steal, bribe with money or even use an innocent young child to escape defeat... He keeps a 56 carat blue diamond worn by Louis XVI...Kathy Bates is the legendary unsinkable Molly Brown, the richest woman in Denver, who is a lot less uptight than the other rich folk on the ship...Frances Fisheris is the impecunious cold snobbish mother who, deathly afraid of losing her social stature, forces her daughter to become engaged to marry a rich, supercilious snob...Victor Garber is the master shipbuilder, the real-life character who attempts to fix time, to measure it, in a sense, to make it into history... Jonathan Hyde is the White Star Chairman who wants the Titanic to break the Trans-Atlantic speed record, in spite of warnings that icebergs may have floated into the hazardous northern crossing...Bill Paxton is the opportunistic undersea explorer in search for a very rare diamond called the ""Heart of the Ocean."" Gloria Stuart is the 101-year old woman who reveals a never-before told love story... The nightmare, the horror and the shock are imprinted upon her deeply lined face... 'Titanic' is loaded with luminous photography and sweeping visuals as the footage of the shipwrecked Ocean liner lying motionless on the ocean floor; the incredible transformation of the bow of the sunken 'Titanic' that takes the viewer back to 1912, revealing the meticulously re-created interiors; the first sight of the Titanic steamed steadily toward her date with destiny; the Titanic, leaving the Southampton dock, and some dolphins appear jumping, racing along in front of the luxurious ship; DeCaprio and Winslet flying at the ship's front rail in a gorgeous magic moment; the intertwining of past and present as Jack was drawing Rose on his paper, the camera zooms closely on young Rose's eye, only to transform its shape into Gloria Stuart's aged eye...Chilling scenes: Titanic's inevitable collision with destiny; James Cameronin one of the most terrifying sequences ever put on film takes us down with the Titanic, finally leaving us floundering in the icy water, screaming for help that never comes...Winner of 11 Academy Awards, including Best Picture, James Cameron's ""Titanic"" is a gigantic epic where you don't just watch the film, you experience it! The visual effects are amazing, like no other film's... The decor is overwhelming... James Horner's music intensifies the emotions... The whole movie is hunting and involving, filled with a wide range of deep feelings... It's truly a moving tribute to those who lost their lives on that unfortunate ship...",10
26,Titanic is world famous. The film that broke every box office record on release and wore the box office champion crown for many years(until it was overtaken by Jim Cameron's Avatar) is special because not only does it showcase the Titanic disaster in all its glory the film is a technical achievement of the highest order. The sinking sequence is astonishing and it feels like you are watching the actual ship sink. The characters and actors are amazing and even with a large running length you never dare look at the watch. James Cameron is a master director and Titanic is his stamp of authority.,
